cell,outcome,truth_prevalence,probability_prevalence,hard_prevalence,probability_prevalence_error,hard_prevalence_error,probability_prevalence_abs_error,hard_prevalence_abs_error,brier,log_loss,hard_accuracy
luna_thin,mobile_ability,0.8692005865667494,0.789229565795742,0.9730811866044712,-0.07997102077100737,0.10388060003772182,0.07997102077100737,0.10388060003772182,0.10391042090107964,0.35082761104530835,0.8801723457785655
luna_thin,mobile_3m,0.8561965271808626,0.734727214233703,0.9710780966550343,-0.12146931294715957,0.11488156947417172,0.12146931294715957,0.11488156947417172,0.12340857028244953,0.4033807635224081,0.8671595680403832
luna_thin,computer_ability,0.1750038922189546,0.3317142431609754,0.19777747182822875,0.15671035094202082,0.022773579609274147,0.15671035094202082,0.022773579609274147,0.15473517202224488,0.4828877933629802,0.7930284476810721
luna_thin,internet_ability,0.5982961535981458,0.5963240169248204,0.7845087048927195,-0.0019721366733254087,0.1862125512945737,0.0019721366733254087,0.1862125512945737,0.18342487004315328,0.5524584543561957,0.7278941911723015
luna_thin,internet_3m,0.5803084541345586,0.5498508229815328,0.7285373137658538,-0.0304576311530258,0.14822885963129528,0.0304576311530258,0.14822885963129528,0.18493260598131994,0.5542110786373788,0.7338451121498795
luna_thin,copy_paste,0.4631552043400314,0.24339001921379017,0.16578851640040929,-0.2197651851262412,-0.29736668793962207,0.2197651851262412,0.29736668793962207,0.26604711390946323,0.7573678260653888,0.6226317219376688
luna_rich,mobile_ability,0.8692005865667494,0.8620784072234434,0.9651019557082053,-0.0071221793433059455,0.09590136914145597,0.0071221793433059455,0.09590136914145597,0.08222822258322542,0.2718629486817343,0.8841588930920021
luna_rich,mobile_3m,0.8561965271808626,0.8201939261869874,0.9641047699096347,-0.0360026009938752,0.10790824272877209,0.0360026009938752,0.10790824272877209,0.09267051606623214,0.30753960885985304,0.8701576479075448
luna_rich,computer_ability,0.1750038922189546,0.34292605825858,0.24485418637594783,0.16792216603962543,0.06985029415699323,0.16792216603962543,0.06985029415699323,0.14618726412280225,0.4569088052404242,0.8079392310709852
luna_rich,internet_ability,0.5982961535981458,0.6783032183587127,0.8353821246864085,0.08000706476056685,0.23708597108826268,0.08000706476056685,0.23708597108826268,0.16526007965745051,0.507644744513278,0.7449267602205392
luna_rich,internet_3m,0.5803084541345586,0.6400935686217444,0.8293862399684668,0.05978511448718582,0.24907778583390827,0.05978511448718582,0.24907778583390827,0.16391496931068994,0.5018322987625132,0.732934777564728
luna_rich,copy_paste,0.4631552043400314,0.23463830398823607,0.1578069441205498,-0.2285169003517953,-0.3053482602194816,0.2285169003517953,0.3053482602194816,0.2542439058914904,0.7247223338997287,0.64263074616748
claude_thin,mobile_ability,0.8322486272736658,0.7768398661116579,0.8962208169491049,-0.05540876116200788,0.06397218967543916,0.05540876116200788,0.06397218967543916,0.10767723219967124,0.35477079027910313,0.8641655556187425
claude_thin,mobile_3m,0.8202427943364894,0.7514060515508063,0.8962208169491049,-0.06883674278568308,0.07597802261261555,0.06883674278568308,0.07597802261261555,0.116984244973821,0.3790960923881147,0.8521597226815659
claude_thin,computer_ability,0.14402463845284438,0.2837527828102166,0.17159573579773815,0.1397281443573722,0.02757109734489377,0.1397281443573722,0.02757109734489377,0.12971302669470147,0.4073084575393384,0.8122793204722867
claude_thin,internet_ability,0.516272808249323,0.574674790039162,0.6764927610053505,0.05840198178983902,0.16021995275602752,0.05840198178983902,0.16021995275602752,0.18170327872123282,0.5432977703416833,0.7197868283098813
claude_thin,internet_3m,0.512302078944008,0.5387938006660996,0.6764927610053505,0.026491721722091577,0.16419068206134246,0.026491721722091577,0.16419068206134246,0.18022645086007633,0.5385300318023706,0.7158160990045663
claude_thin,copy_paste,0.40407098326125307,0.25496300570233127,0.17159573579773815,-0.1491079775589218,-0.23247524746351492,0.1491079775589218,0.23247524746351492,0.2329913977402735,0.6598893990713203,0.6316474186478858
claude_rich,mobile_ability,0.8322486272736658,0.7091057733384761,0.8043429842332928,-0.12314285393518964,-0.027905643040373018,0.12314285393518964,0.027905643040373018,0.1044004565496309,0.3486163724126901,0.8840922460942525
claude_rich,mobile_3m,0.8202427943364894,0.6929636240095713,0.8003446114847729,-0.12727917032691805,-0.019898182851716517,0.12727917032691805,0.019898182851716517,0.11015685589725388,0.3649279825324429,0.8841029607858686
claude_rich,computer_ability,0.14402463845284438,0.25973148336267576,0.17570954213482867,0.11570684490983138,0.03168490368198429,0.11570684490983138,0.03168490368198429,0.09783179694770767,0.32363791084701826,0.8721230226278829
claude_rich,internet_ability,0.516272808249323,0.527663093953887,0.5882234078373714,0.011390285704564018,0.07195059958804839,0.011390285704564018,0.07195059958804839,0.16346649027874807,0.49523839389174074,0.7438225523547415
claude_rich,internet_3m,0.512302078944008,0.4922485988697135,0.5882234078373714,-0.020053480074294527,0.07592132889336334,0.020053480074294527,0.07592132889336334,0.16735037104831127,0.5067138881548287,0.7398518230494265
claude_rich,copy_paste,0.40407098326125307,0.23980129967458344,0.17171468001761558,-0.16426968358666963,-0.23235630324363749,0.16426968358666963,0.23235630324363749,0.21869501543674133,0.645972994439648,0.6877166193957576
qwen_off,mobile_ability,0.8692005865667494,0.891222634635853,0.9371312186796924,0.022022048069103684,0.06793063211294303,0.022022048069103684,0.06793063211294303,0.090396654824123,0.3080496311593445,0.8921262724259977
qwen_off,mobile_3m,0.8561965271808626,0.8180553208223436,0.9371312186796924,-0.03814120635851903,0.08093469149882981,0.03814120635851903,0.08093469149882981,0.0962861644175873,0.3362610250407868,0.8831154512918322
qwen_off,computer_ability,0.1750038922189546,0.28909820159271427,0.22886009768853127,0.11409430937375967,0.05385620546957667,0.11409430937375967,0.05385620546957667,0.15614865802185,0.4933404256690764,0.8059470715033228
qwen_off,internet_ability,0.5982961535981458,0.46351151524870565,0.4953789310691574,-0.13478463834944016,-0.10291722252898838,0.13478463834944016,0.10291722252898838,0.21397927239337056,0.6816853098060562,0.7467791243479731
qwen_off,internet_3m,0.5803084541345586,0.435468121982274,0.4953789310691574,-0.14484033215228453,-0.08492952306540114,0.14484033215228453,0.08492952306540114,0.21339210064202355,0.7146130238358874,0.7567795193595562
qwen_off,copy_paste,0.4631552043400314,0.17994650591003902,0.16287354064209753,-0.28320869842999236,-0.30028166369793385,0.28320869842999236,0.30028166369793385,0.298184781027507,1.009606462622123,0.6436262208543166
qwen_low,mobile_ability,0.8692005865667494,0.8472933635498494,0.9550847648295662,-0.021907223016899957,0.0858841782628168,0.021907223016899957,0.0858841782628168,0.09069286005070822,0.3007695214593556,0.8781377168200882
qwen_low,mobile_3m,0.8561965271808626,0.7940884914666091,0.9470932836179007,-0.062108035714253496,0.0908967564370381,0.062108035714253496,0.0908967564370381,0.10010980052959303,0.33923077115827865,0.8671299803174527
qwen_low,computer_ability,0.1750038922189546,0.30209264420055165,0.2269001039242927,0.12708875198159705,0.05189621170533809,0.12708875198159705,0.05189621170533809,0.12628879231212792,0.39867238517027637,0.8319334358042928
qwen_low,internet_ability,0.5982961535981458,0.42944800862390364,0.4132010057609462,-0.16884814497424216,-0.1850951478371996,0.16884814497424216,0.1850951478371996,0.20715700824952707,0.610506601745637,0.7047116686490509
qwen_low,internet_3m,0.5803084541345586,0.39759145465241114,0.4132010057609462,-0.18271699948214742,-0.16710744837361236,0.18271699948214742,0.16710744837361236,0.2121407270849054,0.6329071379883814,0.7146800054657712
qwen_low,copy_paste,0.4631552043400314,0.20349843378455448,0.15473611159036257,-0.25965677055547687,-0.30841909274966883,0.25965677055547687,0.30841909274966883,0.2656513957532955,0.8205387600569591,0.6536446425067447
qwen_medium,mobile_ability,0.8692005865667494,0.8556495969044872,0.9610833849492175,-0.013550989662262203,0.09188279838246816,0.013550989662262203,0.09188279838246816,0.08662963689582139,0.28935739786493136,0.8801620239585322
qwen_medium,mobile_3m,0.8561965271808626,0.8001685748033872,0.9540821782677944,-0.056027952377475376,0.09788565108693181,0.056027952377475376,0.09788565108693181,0.09627344504061013,0.32872459970861473,0.870132648542988
qwen_medium,computer_ability,0.1750038922189546,0.31459581687377736,0.23295874255985086,0.13959192465482276,0.05795485034089626,0.13959192465482276,0.05795485034089626,0.13474006724708096,0.4219093356853121,0.815885648907523
qwen_medium,internet_ability,0.5982961535981458,0.4393887279387566,0.41219331171395407,-0.1589074256593892,-0.18610284188419174,0.1589074256593892,0.18610284188419174,0.20093915780115118,0.5854689129997774,0.6996224498914047
qwen_medium,internet_3m,0.5803084541345586,0.3993389185476043,0.40919078843722717,-0.18096953558695428,-0.1711176656973314,0.18096953558695428,0.1711176656973314,0.21084540898817064,0.6162470186785541,0.7106311316655695
qwen_medium,copy_paste,0.4631552043400314,0.21375876702130092,0.1547903183585711,-0.24939643731873046,-0.3083648859814603,0.24939643731873046,0.3083648859814603,0.25987829504611504,0.7881535771027766,0.6456213901635444
deepseek_thin_off,mobile_ability,0.8692005865667494,0.9335701393092606,0.9950180113956925,0.06436955274251122,0.1258174248289431,0.06436955274251122,0.1258174248289431,0.11146709414995112,0.4667511781315244,0.8721921439624616
deepseek_thin_off,mobile_3m,0.8561965271808626,0.8853661697897537,0.9950180113956925,0.0291696426088911,0.13882148421482987,0.0291696426088911,0.13882148421482987,0.11509713518321849,0.45621078639463947,0.8591880845765748
deepseek_thin_off,computer_ability,0.1750038922189546,0.4408709743429387,0.3431343150667711,0.26586708212398413,0.1681304228478165,0.26586708212398413,0.1681304228478165,0.2758776839030278,1.9389015493479034,0.6936917974331145
deepseek_thin_off,internet_ability,0.5982961535981458,0.8080389609400683,0.9541251210449991,0.20974280734192252,0.35582896744685333,0.20974280734192252,0.35582896744685333,0.2638115295845236,1.1910311890588758,0.6321865376662679
deepseek_thin_off,internet_3m,0.5803084541345586,0.7674533599319632,0.9551242581296796,0.18714490579740461,0.37481580399512104,0.18714490579740461,0.37481580399512104,0.258186497622172,1.1823903959788764,0.6151901323265953
deepseek_thin_off,copy_paste,0.4631552043400314,0.3755438872530838,0.3441369663585478,-0.08761131708694758,-0.11901823798148359,0.08761131708694758,0.11901823798148359,0.3189235848402556,1.4703779772310646,0.6044438714909403
