cell,extreme_share,wrong_extreme_share,exact_zero_one_share,logloss_gt_2_share,logloss_gt_5_share,logloss_gt_10_share
qwen_off,0.05307870247921137,0.0014992427721186876,0.005488371647386262,0.1282543166892242,0.0,0.0
qwen_medium,0.02345683345269761,0.00033388370616059554,0.0004985897479248154,0.05786686593758696,0.0,0.0
deepseek_rich_off,0.10529174718335897,0.020174676808552037,0.10030399003208627,0.10900069768807541,0.02000813996859149,0.02000813996859149
deepseek_rich_high,0.3044356805134389,0.06483343133269415,0.27132025611769434,0.1265311959483072,0.062166583427320246,0.062166583427320246
